n_run n_bicliques max_size avg_size
1 8 8 6.75
2 8 8 6.75
3 8 8 6.75
4 8 8 6.75
5 8 8 6.75
6 8 8 6.75
7 8 8 6.75
8 8 8 6.75
9 8 8 6.75
10 8 8 6.75
11 8 8 6.75
12 8 8 6.75
13 8 8 6.75
14 8 8 6.75
15 8 8 6.75
16 8 8 6.75
17 8 8 6.75
18 8 8 6.75
19 8 8 6.75
20 8 8 6.75
21 8 8 6.75
22 8 8 6.75
23 8 8 6.75
24 8 8 6.75
25 8 8 6.75
26 8 8 6.75
27 8 8 6.75
28 8 8 6.75
29 8 8 6.75
30 8 8 6.75
31 8 8 6.75
32 8 8 6.75
33 8 8 6.75
34 8 8 6.75
35 8 8 6.75
36 8 8 6.75
37 8 8 6.75
38 8 8 6.75
39 8 8 6.75
40 8 8 6.75
41 8 8 6.75
42 8 8 6.75
43 8 8 6.75
44 8 8 6.75
45 8 8 6.75
46 8 8 6.75
47 8 8 6.75
48 8 8 6.75
49 8 8 6.75
50 8 8 6.75
51 8 8 6.75
52 8 8 6.75
53 8 8 6.75
54 8 8 6.75
55 8 8 6.75
56 8 8 6.75
57 8 8 6.75
58 8 8 6.75
59 8 8 6.75
60 8 8 6.75
61 8 8 6.75
62 8 8 6.75
63 8 8 6.75
64 8 8 6.75
65 8 8 6.75
66 8 8 6.75
67 8 8 6.75
68 8 8 6.75
69 8 8 6.75
70 8 8 6.75
71 8 8 6.75
72 8 8 6.75
73 8 8 6.75
74 8 8 6.75
75 8 8 6.75
76 8 8 6.75
77 8 8 6.75
78 8 8 6.75
79 8 8 6.75
80 8 8 6.75
81 8 8 6.75
82 8 8 6.75
83 8 8 6.75
84 8 8 6.75
85 8 8 6.75
86 8 8 6.75
87 8 8 6.75
88 8 8 6.75
89 8 8 6.75
90 8 8 6.75
91 8 8 6.75
92 8 8 6.75
93 8 8 6.75
94 8 8 6.75
95 8 8 6.75
96 8 8 6.75
97 8 8 6.75
98 8 8 6.75
99 8 8 6.75
100 8 8 6.75
