n_run n_bicliques max_size avg_size
1 13 7 4.61538
2 12 7 4.83333
3 15 7 4.66667
4 14 7 4.71429
5 11 7 4.90909
6 12 7 4.83333
7 11 7 5
8 12 7 4.91667
9 12 7 4.83333
10 12 7 4.91667
11 12 7 4.83333
12 15 7 4.73333
13 12 7 4.75
14 14 7 4.71429
15 15 7 4.66667
16 14 7 4.64286
17 11 7 4.81818
18 12 7 4.75
19 12 7 4.83333
20 15 7 4.8
21 12 7 4.83333
22 12 7 4.91667
23 14 7 4.71429
24 13 7 4.84615
25 13 7 4.76923
26 13 7 4.76923
27 14 7 4.71429
28 12 7 4.83333
29 14 7 4.78571
30 13 7 4.76923
31 12 7 4.75
32 13 7 4.84615
33 13 7 4.76923
34 12 7 4.83333
35 13 7 4.69231
36 13 7 4.69231
37 13 7 4.76923
38 12 7 4.83333
39 12 7 4.83333
40 14 7 4.64286
41 13 7 4.76923
42 15 7 4.66667
43 13 7 4.76923
44 13 7 4.76923
45 15 7 4.73333
46 10 7 5
47 13 7 4.69231
48 12 7 4.91667
49 13 7 4.76923
50 14 7 4.64286
51 13 7 4.76923
52 15 7 4.66667
53 13 7 4.76923
54 13 7 4.76923
55 14 7 4.78571
56 13 7 4.76923
57 13 7 4.76923
58 13 7 4.69231
59 14 7 4.71429
60 12 7 4.75
61 14 7 4.78571
62 14 7 4.78571
63 11 7 4.81818
64 13 7 4.69231
65 13 7 4.69231
66 11 7 4.90909
67 13 7 4.76923
68 14 7 4.71429
69 13 7 4.76923
70 11 7 4.81818
71 15 7 4.6
72 10 7 5
73 13 7 4.76923
74 14 7 4.71429
75 13 7 4.76923
76 16 7 4.6875
77 14 7 4.71429
78 13 7 4.76923
79 13 7 4.76923
80 15 7 4.66667
81 15 7 4.73333
82 12 7 4.83333
83 12 7 4.83333
84 15 7 4.6
85 14 7 4.78571
86 14 7 4.71429
87 13 7 5
88 12 7 4.66667
89 14 7 4.78571
90 13 7 4.76923
91 14 7 4.71429
92 11 7 4.90909
93 15 7 4.66667
94 10 7 4.8
95 14 7 4.64286
96 14 7 4.78571
97 15 7 4.6
98 12 7 4.83333
99 14 7 4.57143
100 11 7 4.72727
